tool,suite,subject,gc,arm,status,monitors,events,traces
valg,oss,myui-btree4j,parallel,native,PASS,59471,275486672,
valg,oss,myui-btree4j,g1,stock,PASS,59312,275591330,
valg,oss,myui-btree4j,g1,native,PASS,59011,275523729,
valg,oss,palatable-lambda,serial,stock,PASS,298223,1400516995,
valg,oss,palatable-lambda,serial,native,PASS,309814,1403498176,
valg,oss,palatable-lambda,parallel,stock,PASS,261229,1398211358,
valg,oss,palatable-lambda,parallel,native,PASS,295533,1404308162,
valg,oss,palatable-lambda,g1,stock,PASS,282569,1399678324,
valg,oss,palatable-lambda,g1,native,PASS,305215,1667488170,
valg,oss,palindromicity-simple-syslog,serial,stock,PASS,171956,43942198,
valg,oss,palindromicity-simple-syslog,serial,native,PASS,162401,43831414,
valg,oss,palindromicity-simple-syslog,parallel,stock,PASS,162005,43775877,
valg,oss,palindromicity-simple-syslog,parallel,native,PASS,172106,43945710,
valg,oss,palindromicity-simple-syslog,g1,stock,PASS,161851,43794904,
valg,oss,palindromicity-simple-syslog,g1,native,PASS,161817,43814303,
valg,oss,renfei-ik-analyzer,serial,stock,PASS,856294,222758134,
valg,oss,renfei-ik-analyzer,serial,native,PASS,856478,222757829,
valg,oss,renfei-ik-analyzer,parallel,stock,PASS,856703,222762330,
valg,oss,renfei-ik-analyzer,parallel,native,PASS,856418,222756649,
valg,oss,renfei-ik-analyzer,g1,stock,PASS,856310,222750269,
valg,oss,renfei-ik-analyzer,g1,native,PASS,856710,222761640,
valg,oss,sbesada-java.math.expression.parser,serial,stock,PASS,160682,328644474,
valg,oss,sbesada-java.math.expression.parser,serial,native,PASS,160711,328644402,
valg,oss,sbesada-java.math.expression.parser,parallel,stock,PASS,160669,328644505,
valg,oss,sbesada-java.math.expression.parser,parallel,native,PASS,160733,328644388,
valg,oss,sbesada-java.math.expression.parser,g1,stock,PASS,160731,328644565,
valg,oss,sbesada-java.math.expression.parser,g1,native,PASS,160738,328644537,
valg,oss,simplenlg-simplenlg,serial,stock,PASS,307374,116409389,
valg,oss,simplenlg-simplenlg,serial,native,PASS,307446,116408549,
valg,oss,simplenlg-simplenlg,parallel,stock,PASS,307245,116407303,
valg,oss,simplenlg-simplenlg,parallel,native,PASS,309205,116453227,
valg,oss,simplenlg-simplenlg,g1,stock,PASS,320325,116407188,
valg,oss,simplenlg-simplenlg,g1,native,PASS,309114,116453490,
valg,oss,solita-functional-utils,serial,stock,PASS,2604,24869692,
valg,oss,solita-functional-utils,serial,native,PASS,2612,25354519,
valg,oss,solita-functional-utils,parallel,stock,PASS,2666,24493958,
valg,oss,solita-functional-utils,parallel,native,PASS,2674,24968675,
valg,oss,solita-functional-utils,g1,stock,PASS,2943,24210220,
valg,oss,solita-functional-utils,g1,native,PASS,2904,24925853,
valg,oss,xspec-xspec-maven-plugin-1,serial,stock,PASS,1552623,289895527,
valg,oss,xspec-xspec-maven-plugin-1,serial,native,PASS,1551670,289879549,
valg,oss,xspec-xspec-maven-plugin-1,parallel,stock,PASS,1551873,289831398,
valg,oss,xspec-xspec-maven-plugin-1,parallel,native,PASS,1550973,289892258,
valg,oss,xspec-xspec-maven-plugin-1,g1,stock,PASS,1598658,289974852,
valg,oss,xspec-xspec-maven-plugin-1,g1,native,PASS,1548637,289869492,
valg,oss,ysc-word,serial,stock,PASS,133958,7344730096,
valg,oss,ysc-word,serial,native,PASS,133901,7344755871,
valg,oss,ysc-word,parallel,stock,PASS,133923,7344722048,
valg,oss,ysc-word,parallel,native,PASS,134558,7344757727,
valg,oss,ysc-word,g1,stock,PASS,134184,7344758868,
valg,oss,ysc-word,g1,native,PASS,133242,7344751039,
valg,oss,zhoujianling-PointCloudUtilities,serial,stock,PASS,125556,420391973,
valg,oss,zhoujianling-PointCloudUtilities,serial,native,PASS,152991,420573499,
valg,oss,zhoujianling-PointCloudUtilities,parallel,stock,PASS,163195,423793048,
valg,oss,zhoujianling-PointCloudUtilities,parallel,native,PASS,148206,420176004,
valg,oss,zhoujianling-PointCloudUtilities,g1,stock,PASS,159132,410403657,
valg,oss,zhoujianling-PointCloudUtilities,g1,native,PASS,152271,420471279,
valg,dacapo,avrora,g1,native,PASS,79394,117281730,
valg,dacapo,avrora,parallel,native,PASS,83885,105182484,
valg,dacapo,avrora,serial,native,PASS,90952,108648340,
valg,dacapo,batik,g1,native,PASS,103264,22743227,
valg,dacapo,batik,parallel,native,PASS,103795,22743166,
valg,dacapo,batik,serial,native,PASS,73787,22641009,
valg,dacapo,biojava,g1,native,PASS,79374,6792133121,
valg,dacapo,biojava,parallel,native,PASS,77465,6756723029,
valg,dacapo,biojava,serial,native,PASS,79535,6787968963,
valg,dacapo,eclipse,g1,native,PASS,44490,5335285,
valg,dacapo,eclipse,parallel,native,PASS,48036,5686820,
valg,dacapo,eclipse,serial,native,PASS,46054,5342257,
valg,dacapo,graphchi,g1,native,PASS,943,93557905,
valg,dacapo,graphchi,parallel,native,PASS,1017,93504445,
